| 指数代码 | 指数简称 | 指数全称 | 基日 | 基点 | 指数系列 | 样本数量 | 最新收盘 | 近一个月收益率 | 资产类别 | 指数热点 | 指数币种 | 合作指数 | 跟踪产品 | 指数合规 | 指数类别 | 发布时间 |
| 950080 | 中小企改 | 上证中小国企改革指数 | 2013-12-31 | 1000.0 | 上证系列指数 | 47 | 2821.71 | 2.74 | 股票 | 国企改革 | 人民币 | 否 | 否 | 无 | 主题 | 2015-08-03 |
| 950083 | 上证长三角 | 上证长三角领先指数 | 2012-12-31 | 1000.0 | 上证系列指数 | 100 | 2069.12 | 3.6 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2019-10-22 |
| 950084 | 2年国债 | 上证2年期国债指数 | 2008-12-31 | 100.0 | 上证系列指数 | 8 | 173.18 | 0.09 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2019-12-26 |
| 950085 | 沪物联网 | 上证物联网主题指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 50 | 3016.83 | 0.34 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-10-29 |
| 950086 | 沪自贸区 | 上证自贸区主题指数 | 2013-12-31 | 1000.0 | 上证系列指数 | 79 | 1786.96 | 3.33 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-11-27 |
| 950087 | 上证海洋 | 上证海洋经济主题指数 | 2009-12-31 | 1000.0 | 上证系列指数 | 49 | 1112.96 | 1.78 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-11-27 |
| 950088 | 沪轻资产 | 上证轻资产主题指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 100 | 5901.35 | 0.06 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-11-27 |
| 950089 | 上证电子 | 上证电子指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 50 | 8862.35 | 3.11 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-11-27 |
| 950094 | 上证增持 | 上证增持与回购事件指数 | 2011-12-31 | 1000.0 | 上证系列指数 | 50 | 2158.28 | 1.02 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2016-04-11 |
| 950095 | 上证定增 | 上证定向增发事件指数 | 2011-12-31 | 1000.0 | 上证系列指数 | 50 | 2429.03 | -2.84 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2016-04-11 |
| 950097 | 沪供给侧 | 上证供给侧结构性改革主题指数 | 2013-12-31 | 1000.0 | 上证系列指数 | 100 | 2069.6 | 5.93 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2016-06-24 |
| 950098 | 180SNLV | 上证180行业中性低波动指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 100 | 6387.95 | 2.39 | 股票 | 低风险 | 人民币 | 否 | 否 | 无 | 策略 | 2016-06-24 |
| 950099 | 380SNLV | 上证380行业中性低波动指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 149 | 16902.73 | 2.52 | 股票 | 低风险 | 人民币 | 否 | 否 | 无 | 策略 | 2016-06-24 |
| 950100 | 上高股息 | 上证高股息精选指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 50 | 4134.25 | -1.78 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2016-07-12 |
| 950101 | 沪智能造 | 上证智能制造主题指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 50 | 5703.59 | 2.07 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2016-07-20 |
| 950102 | 上证周期债 | 上证周期产业债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 810 | 246.19 | 0.04 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2016-08-19 |
| 950103 | 智选科创半导体 | 上证智选科创板半导体主题指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 30 | 4152.53 | 3.95 | 股票 |  | 人民币 | 是 | 否 | 无 | 主题 | 2024-05-16 |
| 950108 | 上证民企公司债 | 上证民企公司债指数 | 2011-12-31 | 100.0 | 上证系列指数 | 85 | 168.43 | 0.23 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2020-01-14 |
| 950109 | 上证10年地债 | 上证10年期地方政府债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 2572 | 178.44 | 0.29 | 固定收益 |  | 人民币 | 否 | 是 | 无 | 利率债 | 2016-11-14 |
| 950110 | 上证超长国债 | 上证超长期国债指数 | 2008-12-31 | 100.0 | 上证系列指数 | 60 | 248.52 | -0.01 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2016-11-14 |
| 950111 | 沪短期AAA央企债 | 上证短期AAA央企信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 214 | 131.27 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-05-08 |
| 950112 | 沪短期高等级信用债 | 上证短期高等级信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 798 | 132.28 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-05-08 |
| 950113 | 沪质中高债3-5 | 上证3-5年期中高等级可质押信用债指数 | 2008-12-31 | 100.0 | 上证系列指数 | 640 | 208.99 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2017-02-23 |
| 950115 | 上证ABS | 上证资产支持证券指数 | 2016-12-30 | 100.0 | 上证系列指数 | 2624 | 143.47 | 0.2 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 其他固收指数 | 2024-02-02 |
| 950116 | 上证优先级ABS | 上证优先级资产支持证券指数 | 2016-12-30 | 100.0 | 上证系列指数 | 2125 | 143.22 | 0.2 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 其他固收指数 | 2024-02-02 |
| 950117 | 上证绿色债 | 上证绿色债券指数 | 2016-12-30 | 100.0 | 上证系列指数 | 252 | 146.35 | 0.13 | 固定收益 | 绿色 | 人民币 | 否 | 否 | 无 | 信用债 | 2017-06-19 |
| 950118 | 上证绿色公司债 | 上证绿色公司债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 127 | 141.09 | 0.11 | 固定收益 | 绿色 | 人民币 | 否 | 否 | 无 | 信用债 | 2017-06-19 |
| 950119 | 上证可交换债 | 上证可交换债券指数 | 2015-12-31 | 100.0 | 上证系列指数 | 1 | 145.54 | 1.84 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 可转债 | 2019-01-29 |
| 950120 | 上证转债及可交换债 | 上证可转债及可交换债券指数 | 2002-12-31 | 100.0 | 上证系列指数 | 196 | 449.8 | 1.33 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 可转债 | 2019-01-29 |
| 950122 | 沪长三角高等级绿债 | 上证长三角高等级绿色债券指数 | 2017-12-29 | 100.0 | 上证系列指数 | 78 | 150.85 | 0.15 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-10-25 |
| 950126 | 沪信用债AAA | 上证信用债AAA指数 | 2011-12-31 | 100.0 | 上证系列指数 | 4491 | 195.02 | 0.07 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950127 | 沪信用债AA+ | 上证信用债AA+指数 | 2008-12-31 | 100.0 | 上证系列指数 | 958 | 238.41 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950128 | 沪信用债AA | 上证信用债AA指数 | 2008-12-31 | 100.0 | 上证系列指数 | 151 | 274.63 | 0.22 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950129 | 沪信用债0-1 | 上证信用债0-1年指数 | 2011-12-31 | 100.0 | 上证系列指数 | 1276 | 166.99 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950130 | 沪信用债1-3 | 上证信用债1-3年指数 | 2008-12-31 | 100.0 | 上证系列指数 | 2787 | 207.82 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950131 | 沪信用债3-5 | 上证信用债3-5年指数 | 2011-12-31 | 100.0 | 上证系列指数 | 1986 | 203.09 | 0.14 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950132 | 沪信用债5-7 | 上证信用债5-7年指数 | 2007-12-31 | 100.0 | 上证系列指数 | 283 | 299.18 | 0.07 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950133 | 沪信用债7-10 | 上证信用债7-10年指数 | 2011-12-31 | 100.0 | 上证系列指数 | 401 | 221.37 | -0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950134 | 沪信用债1-5 | 上证信用债1-5年指数 | 2011-12-31 | 100.0 | 上证系列指数 | 4773 | 194.93 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950135 | 沪信用债中高等级 | 上证信用债中高等级指数 | 2007-12-31 | 100.0 | 上证系列指数 | 5449 | 253.72 | 0.08 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950136 | 沪信用债0-1中高等级 | 上证信用债0-1年中高等级指数 | 2011-12-31 | 100.0 | 上证系列指数 | 1201 | 164.42 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950137 | 沪信用债1-3中高等级 | 上证信用债1-3年中高等级指数 | 2007-12-31 | 100.0 | 上证系列指数 | 2698 | 224.44 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950138 | 沪信用债3-5中高等级 | 上证信用债3-5年中高等级指数 | 2007-12-31 | 100.0 | 上证系列指数 | 1925 | 256.02 | 0.14 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950139 | 沪信用债5-7中高等级 | 上证信用债5-7年中高等级指数 | 2007-12-31 | 100.0 | 上证系列指数 | 282 | 291.87 | 0.07 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950140 | 沪信用债7-10中高等级 | 上证信用债7-10年中高等级指数 | 2011-12-31 | 100.0 | 上证系列指数 | 401 | 219.06 | -0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950141 | 沪信用债1-5中高等级 | 上证信用债1-5年中高等级指数 | 2007-12-31 | 100.0 | 上证系列指数 | 4623 | 242.33 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950142 | 沪AAA短期信用债 | 上证AAA短期信用债指数 | 2011-12-31 | 100.0 | 上证系列指数 | 1071 | 163.0 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950143 | 沪信用债1-3AAA | 上证信用债1-3年AAA指数 | 2011-12-31 | 100.0 | 上证系列指数 | 2211 | 177.99 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950144 | 沪信用债3-5AAA | 上证信用债3-5年AAA指数 | 2011-12-31 | 100.0 | 上证系列指数 | 1502 | 189.5 | 0.13 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950145 | 沪信用债5-7AAA | 上证信用债5-7年AAA指数 | 2011-12-31 | 100.0 | 上证系列指数 | 243 | 216.89 | 0.07 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950146 | 沪信用债7-10AAA | 上证信用债7-10年AAA指数 | 2011-12-31 | 100.0 | 上证系列指数 | 393 | 216.29 | -0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950147 | 沪信用债1-5AAA | 上证信用债1-5年AAA指数 | 2011-12-31 | 100.0 | 上证系列指数 | 3713 | 182.62 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950148 | 沪信用债0-1AA+ | 上证信用债0-1年AA+指数 | 2011-12-31 | 100.0 | 上证系列指数 | 231 | 174.69 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950149 | 沪信用债1-3AA+ | 上证信用债1-3年AA+指数 | 2009-12-31 | 100.0 | 上证系列指数 | 487 | 206.96 | 0.2 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950150 | 沪信用债3-5AA+ | 上证信用债3-5年AA+指数 | 2008-12-31 | 100.0 | 上证系列指数 | 423 | 234.65 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950151 | 沪信用债5-7AA+ | 上证信用债5-7年AA+指数 | 2008-12-31 | 100.0 | 上证系列指数 | 39 | 273.2 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950152 | 沪信用债7-10AA+ | 上证信用债7-10年AA+指数 | 2009-12-31 | 100.0 | 上证系列指数 | 8 | 259.26 | -0.1 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950153 | 沪信用债1-5AA+ | 上证信用债1-5年AA+指数 | 2008-12-31 | 100.0 | 上证系列指数 | 910 | 226.1 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950154 | 沪信用债0-1AA | 上证信用债0-1年AA指数 | 2012-12-31 | 100.0 | 上证系列指数 | 75 | 182.14 | 0.23 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950155 | 沪信用债1-3AA | 上证信用债1-3年AA指数 | 2009-12-31 | 100.0 | 上证系列指数 | 89 | 235.43 | 0.22 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950156 | 沪信用债3-5AA | 上证信用债3-5年AA指数 | 2008-12-31 | 100.0 | 上证系列指数 | 61 | 273.34 | 0.22 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950157 | 沪信用债5-7AA | 上证信用债5-7年AA指数 | 2008-12-31 | 100.0 | 上证系列指数 | 1 | 312.17 | 0.23 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950158 | 沪信用债7-10AA | 上证信用债7-10年AA指数 | 2009-12-31 | 100.0 | 上证系列指数 | 0 | 245.87 | 0.0 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950159 | 沪信用债1-5AA | 上证信用债1-5年AA指数 | 2008-12-31 | 100.0 | 上证系列指数 | 150 | 262.13 | 0.22 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950161 | 科创新药 | 上证科创板创新药指数 | 2022-12-30 | 1000.0 | 上证系列指数 | 30 | 1323.34 | -9.69 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2024-08-23 |
| 950165 | 沪科创债 | 上证科技创新公司债指数 | 2022-06-30 | 100.0 | 上证系列指数 | 972 | 114.09 | 0.06 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-08-24 |
| 950166 | 沪高等级科创债 | 上证高等级科技创新公司债指数 | 2022-06-30 | 100.0 | 上证系列指数 | 851 | 114.13 | 0.05 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-08-24 |
| 950167 | 沪AAA科创债 | 上证AAA科技创新公司债指数 | 2022-06-30 | 100.0 | 上证系列指数 | 836 | 114.16 | 0.05 | 固定收益 |  | 人民币 | 否 | 是 | 无 | 信用债 | 2023-08-24 |
| 950168 | 沪0-3 AAA科创债 | 上证0-3年AAA科技创新公司债指数 | 2022-06-30 | 100.0 | 上证系列指数 | 440 | 111.91 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-08-24 |
| 950169 | 沪0-5 AAA科创债 | 上证0-5年AAA科技创新公司债指数 | 2022-06-30 | 100.0 | 上证系列指数 | 686 | 113.14 | 0.14 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-08-24 |
| 950170 | 沪AAA国企科创债 | 上证AAA国企科技创新公司债指数 | 2022-06-30 | 100.0 | 上证系列指数 | 821 | 114.19 | 0.05 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-08-24 |
| 950171 | 沪0-3 AAA国企科创债 | 上证0-3年AAA国企科技创新公司债指数 | 2022-06-30 | 100.0 | 上证系列指数 | 429 | 111.91 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-08-24 |
| 950172 | 沪0-5 AAA国企科创债 | 上证0-5年AAA国企科技创新公司债指数 | 2022-06-30 | 100.0 | 上证系列指数 | 671 | 113.15 | 0.14 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-08-24 |
| 950175 | 沪30年国债 | 上证30年期国债指数 | 2010-12-31 | 100.0 | 上证系列指数 | 13 | 243.34 | 0.36 | 固定收益 |  | 人民币 | 否 | 是 | 无 | 利率债 | 2023-12-19 |
| 950176 | 沪0-2国债及政金债 | 上证0-2年国债及政策性金融债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 69 | 161.17 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2024-09-02 |
| 950177 | 沪1-5国债及政金债 | 上证1-5年国债及政策性金融债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 66 | 182.97 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2024-09-02 |
| 950178 | 科创民企策略 | 上证科创板民营企业50策略指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1523.41 | -3.23 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2025-07-23 |
| 950179 | 上证回购 | 上证回购指数 | 2018-12-28 | 1000.0 | 上证系列指数 | 50 | 2073.85 | -1.26 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2023-10-17 |
| 950180 | 科创AI | 上证科创板人工智能指数 | 2022-12-30 | 1000.0 | 上证系列指数 | 30 | 2299.73 | -1.85 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2024-07-25 |
| 950181 | 上证红利增长 | 上证红利增长指数 | 2013-12-31 | 1000.0 | 上证系列指数 | 50 | 2488.71 | 4.29 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2025-01-24 |
| 950182 | 180红利增长 | 上证180红利增长指数 | 2013-12-31 | 1000.0 | 上证系列指数 | 30 | 2786.89 | 5.25 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2025-01-24 |
| 950183 | 上证绿色债AAA | 上证绿色债券AAA指数 | 2016-12-30 | 100.0 | 上证系列指数 | 183 | 143.64 | 0.12 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 综合债 | 2019-06-27 |
| 950184 | 上证高等级绿色债 | 上证高等级绿色债券指数 | 2016-12-30 | 100.0 | 上证系列指数 | 240 | 145.57 | 0.13 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 综合债 | 2019-06-27 |
| 950185 | 上证绿色企债 | 上证绿色企业债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 125 | 150.91 | 0.15 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2019-06-27 |
| 950188 | 上证3-7年地债 | 上证3-7年期地方政府债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 3561 | 167.53 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2020-04-21 |
| 950189 | 沪新基建 | 上证新型基础设施建设主题指数 | 2014-12-31 | 1000.0 | 上证系列指数 | 100 | 1658.28 | 2.93 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2020-07-07 |
| 950190 | 上证长三角信用债 | 上证长三角信用债指数 | 2014-12-31 | 100.0 | 上证系列指数 | 1050 | 163.46 | 0.13 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2020-09-07 |
| 950191 | 上证长三角综合债 | 上证长三角综合债指数 | 2014-12-31 | 100.0 | 上证系列指数 | 2466 | 164.69 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 综合债 | 2020-09-07 |
| 950192 | 上证大湾区信用债 | 上证粤港澳大湾区信用债指数 | 2014-12-31 | 100.0 | 上证系列指数 | 347 | 150.47 | 0.14 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2020-09-07 |
| 950193 | 上证大湾区综合债 | 上证粤港澳大湾区综合债指数 | 2014-12-31 | 100.0 | 上证系列指数 | 1322 | 164.36 | 0.2 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 综合债 | 2020-09-07 |
| 950194 | 上证新能源车 | 上证新能源车产业指数 | 2014-12-31 | 1000.0 | 上证系列指数 | 29 | 2121.59 | 1.32 | 股票 | 绿色 | 人民币 | 否 | 否 | 无 | 主题 | 2022-01-24 |
| 950197 | 上证证券公司债 | 上证证券公司债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 390 | 141.8 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-09-03 |
| 950198 | 上证证券公司债AAA | 上证证券公司债AAA指数 | 2016-12-30 | 100.0 | 上证系列指数 | 278 | 141.91 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-09-03 |
| 950199 | 上证证券公司债高等级 | 上证证券公司债高等级指数 | 2016-12-30 | 100.0 | 上证系列指数 | 375 | 141.67 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-09-03 |
| 950200 | 上证证券公司债0-3AAA | 上证证券公司债0-3年AAA指数 | 2016-12-30 | 100.0 | 上证系列指数 | 358 | 135.91 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-09-03 |
| 950201 | 上证证券公司债0-3高等级 | 上证证券公司债0-3年高等级指数 | 2016-12-30 | 100.0 | 上证系列指数 | 485 | 135.96 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-09-03 |
| 950202 | 沪政金债 | 上证政策性金融债指数 | 2014-12-31 | 100.0 | 上证系列指数 | 11 | 142.63 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2021-10-15 |
| 950203 | 沪政金债0-3 | 上证政策性金融债0-3年指数 | 2014-12-31 | 100.0 | 上证系列指数 | 8 | 133.95 | 0.1 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2021-10-15 |
| 950204 | 沪政金债0-5 | 上证政策性金融债0-5年指数 | 2014-12-31 | 100.0 | 上证系列指数 | 9 | 138.37 | 0.1 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2021-10-15 |
| 950205 | 上证信用债隐含AA+以上 | 上证信用债隐含评级AA+以上指数 | 2016-12-30 | 100.0 | 上证系列指数 | 1682 | 147.61 | 0.03 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-11-09 |
| 950206 | 上证信用债隐含AA以上 | 上证信用债隐含评级AA以上指数 | 2016-12-30 | 100.0 | 上证系列指数 | 3039 | 144.66 | 0.07 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-11-09 |
| 950207 | 上证信用债0-1隐含AA+以上 | 上证信用债0-1年隐含评级AA+以上指数 | 2016-12-30 | 100.0 | 上证系列指数 | 393 | 131.06 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-11-09 |
| 950208 | 上证信用债1-3隐含AA+以上 | 上证信用债1-3年隐含评级AA+以上指数 | 2016-12-30 | 100.0 | 上证系列指数 | 761 | 139.69 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-11-09 |
| 950209 | 上证信用债1-5隐含AA+以上 | 上证信用债1-5年隐含评级AA+以上指数 | 2016-12-30 | 100.0 | 上证系列指数 | 1204 | 141.15 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-11-09 |
| 950210 | 上证信用债3-5隐含AA+以上 | 上证信用债3-5年隐含评级AA+以上指数 | 2016-12-30 | 100.0 | 上证系列指数 | 443 | 145.2 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-11-09 |
| 950211 | 上证信用债0-1隐含AA以上 | 上证信用债0-1年隐含评级AA以上指数 | 2016-12-30 | 100.0 | 上证系列指数 | 728 | 131.71 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-11-09 |
| 950212 | 上证信用债1-3隐含AA以上 | 上证信用债1-3年隐含评级AA以上指数 | 2016-12-30 | 100.0 | 上证系列指数 | 1500 | 140.55 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-11-09 |
| 950213 | 上证信用债1-5隐含AA以上 | 上证信用债1-5年隐含评级AA以上指数 | 2016-12-30 | 100.0 | 上证系列指数 | 2423 | 141.87 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-11-09 |
| 950214 | 上证信用债3-5隐含AA以上 | 上证信用债3-5年隐含评级AA以上指数 | 2016-12-30 | 100.0 | 上证系列指数 | 923 | 145.2 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2021-11-09 |
| 950215 | 180金融行业 | 上证180金融指数 | 2007-12-28 | 1000.0 | 上证系列指数 | 41 | 877.09 | 4.43 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2022-07-21 |
| 950216 | 380地产 | 上证380房地产指数 | 2007-12-28 | 1000.0 | 上证系列指数 | 13 | 681.09 | 6.89 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2022-07-21 |
| 950217 | 上证地产 | 上证房地产行业指数 | 2007-12-28 | 1000.0 | 上证系列指数 | 30 | 507.36 | 3.88 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2022-07-21 |
| 950218 | 房地产等权 | 上证房地产行业分层等权重指数 | 2007-12-28 | 1000.0 | 上证系列指数 | 30 | 619.86 | 3.1 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 策略 | 2022-07-21 |
| 950219 | 沪地产红 | 上证房地产红利指数 | 2007-12-28 | 1000.0 | 上证系列指数 | 8 | 717.99 | 0.21 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | IOSCO | 策略 | 2022-07-21 |
| 950220 | 上证新能源 | 上证新能源主题指数 | 2008-12-31 | 1000.0 | 上证系列指数 | 96 | 4692.11 | 4.38 | 股票 | 绿色 | 人民币 | 否 | 否 | 无 | 主题 | 2022-01-24 |
| 950223 | 50 ESG | 上证50 ESG基准指数 | 2017-06-30 | 1000.0 | 上证系列指数 | 50 | 1195.0 | 3.35 | 股票 | ESG | 人民币 | 否 | 否 | IOSCO | 主题 | 2022-01-24 |
| 950224 | 180 ESG基准 | 上证180 ESG基准指数 | 2017-06-30 | 1000.0 | 上证系列指数 | 147 | 1273.66 | 3.26 | 股票 | ESG | 人民币 | 否 | 否 | IOSCO | 主题 | 2022-01-24 |
| 950225 | 380 ESG | 上证380 ESG基准指数 | 2021-06-30 | 1000.0 | 上证系列指数 | 298 | 1072.56 | 0.68 | 股票 | ESG | 人民币 | 否 | 否 | IOSCO | 主题 | 2022-01-24 |
