| 指数代码 | 指数简称 | 指数全称 | 基日 | 基点 | 指数系列 | 样本数量 | 最新收盘 | 近一个月收益率 | 资产类别 | 指数热点 | 指数币种 | 合作指数 | 跟踪产品 | 指数合规 | 指数类别 | 发布时间 |
| 000076 | 金融等权 | 上证金融行业分层等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 30 | 5667.52 | 5.28 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2010-08-18 |
| 000077 | 信息等权 | 上证信息技术行业分层等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 6045.98 | 3.07 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2010-08-18 |
| 000078 | 通信等权 | 上证通信服务行业分层等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 30 | 3227.0 | -1.4 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2010-08-18 |
| 000079 | 公用等权 | 上证公用事业行业分层等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 30 | 2618.14 | 5.12 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2010-08-18 |
| 000090 | 上证流通 | 上证流通指数 | 2009-12-31 | 1000.0 | 上证系列指数 | 2192 | 1428.25 | 1.76 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2010-12-02 |
| 000091 | 沪财中小 | 上证财富中小盘指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 199 | 14272.94 | -0.73 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2011-04-06 |
| 000092 | 资源50 | 上证资源50指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 4425.64 | 7.39 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-05-10 |
| 000093 | 180分层 | 上证180行业分层等权重指数 | 2002-06-28 | 3299.06 | 上证系列指数 | 180 | 12265.88 | 1.68 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2011-05-24 |
| 000094 | 上证上游 | 上证上游产业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 46 | 4179.35 | 11.91 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-05-10 |
| 000095 | 上证中游 | 上证中游产业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 195 | 3849.14 | 2.44 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-05-10 |
